,제목,본문,본문 댓글,답변,태그,,
155,apt-get은 어떻게 설치하는 건가요?,"안녕하세요. 리눅스 환경에서 돌아가는 nas 서버에서 작업을 하다보니 apt-get을 쓰라는 게 있어서 이 것을 인스톨을 하려고 찾아보니 yum이란 것을 설치하라고 하더군요. 

그래서 yum을 설치하려고 알아보니 이번엔 make 명령을 쓰라고 합니다. 그리고 이 것은 rpm에 포함되어 있다고 하는데, rpm을 설치하려면 apt-get을 설치하라고 합니다. 

nas서버 작업 때문에 처음으로 리눅스를 접해 보는데, 이 세 개의 파일 관리자? 같은 녀석들은 도무지 어디서도 찾을 수가 없습니다.

심지어 그들은 자기 자신을 가지려면 다른 녀석을 가지고 자신을 가지라고 하는데, 다른 녀석들 역시 또 다른 녀석들을 요구하기 때문에 도무지 설치할 수가 없습니다.

도와주세요! 이젠 yum이라는 사람과 apt-get이라는 사람, 그리고 rpm이라는 사람이 한 군데 모여 있다면 그들에게 꿀밤을 돌아가면서 때리고 싶은 지경에 이르렀습니다!

신이시여!",No Comments Exist,"
apt-get은 devian 계열 (우분투 등) 리눅스에서 사용하는 패키지 저장소입니다.

yum은 redhat 계열 (페도라 등) 리눅스에서 사용하는 패키지 저장소로 서로 다릅니다.

rpm도 redhat 계열 (페도라 등) 리눅스에서 사용하는 패키지입니다.

따라서 rpm을 이용하기 위해서는 데비안 패키지 deb를 구하시거나 rpm 파일을 deb 파일로 변환하셔야 합니다.




<---------댓글----------->



*************************************************************
",apt-get,,
156,터미널 실행 단축키 컨트롤+알트+T가 먹히질 않네요,"


위와 같이 단축키 설정이 되어있음에도 바탕화면에서 터미널 실행 단축키를 눌러도 터미널이 나오지 않습니다.
수동으로 터미널 찾아서 실행시키면 창이 뜨긴 합니다;; 
해결책 아시는 분 답변 좀 부탁드립니다.",방금 해결되었습니다. 일전에 파이썬 3.5버전을 쓰고 싶어 /usr/bin폴더의 python을 다른 이름으로 바꾸고 python3.5를 python으로 바꿔서 쓰고 있었는데 이걸 원상복구하니 터미널도 정상실행 되는 군요. 우분투 시스템 설정 어플리케이션 몇개도 먹통이었는데 이거 고치고 나서 되는 걸 보니 파이썬이랑 관련이 있었나보네요,"

답변이 해결되어 답변 완료 처리 하겠습니다. 감사합니다.

댓글 6월 5 taecing 님
방금 해결되었습니다. 일전에 파이썬 3.5버전을 쓰고 싶어 /usr/bin폴더의 python을 다른 이름으로 바꾸고 python3.5를 python으로 바꿔서 쓰고 있었는데 이걸 원상복구하니 터미널도 정상실행 되는 군요. 우분투 시스템 설정 어플리케이션 몇개도 먹통이었는데 이거 고치고 나서 되는 걸 보니 파이썬이랑 관련이 있었나보네요




<---------댓글----------->



*************************************************************
",터미널,,
157,우분투 16.04 부팅후 테마가 일부만 적용됩니다,"루믹스 테마를 설치한 유저입니다.

루믹스 테마가 첫 부팅시 일부(와이파이 상태)만 적용되고 배터리 표시등에는 적용이 되지 않네요

다른 컴퓨터에서도 확인한 결과 마찬가지입니다.

numix 자체 버그인건가요 아니면 시스템 버그인가요?",No Comments Exist,No Answers Exist,"테마
잠금화면",,
158,50-ubuntu.conf를 [Seat:*] user-session=ubuntu greeter-hide-users=true으로 수정했더니 손님으로밖에 안들어가집니다.,"이 상태에서 다른 유저로 바꾸고 싶은데 어떨게 해야 하나요?

greeter는 lightdm입니다",No Comments Exist,No Answers Exist,"lightdm
계정
greeter",,
159,SSD에 윈도우 8.1이 깔려있습니다. HDD에 우분투를 설치후 우분투 부팅이 안됩니다.,"SSD에 윈도우8.1이 깔려있습니다.

HDD에 우분투 16.04 LTS 를 깔려고 시도했습니다 ㅠㅠㅠ

HDD의 일정부분을 할당되지 않은 영역으로 만든 후

우분투 설치 USB를 이용... Try without install로 들어가서.. 우분투 설치 아이콘을 들어갔고..

할당되지 않았던 영역에 스왑영역(논리파티션)으로 적당용량 배분했습니다.

할당되지 않았던 영역에 / 과 /home (주파티션)으로 각각 적당용량 배분했는데....

부트로더는 HDD를 가르키도록 설치했습니다.

설치까지는 다 되는듯 보였습니다만.

뭘 어떻게 해도 맨처음에 윈도우로만 부팅이 됩니다.

부팅 우선순위를 우분투가 설치되어 있는 디스크에 놔둬도... 우분투로 부팅이 안됩니다.

http://ingles.tistory.com/2 <-여기 나온 설명대로 진행했는데도 무언가 오류가 났구요..

  구글링을 해보면 윈도우8..에서 빠른시작., 안전제거를 멈추고 깔으라는데, 그러면 SSD+window8.1 조합을 사용하는 이유가 반쯤은 사라지는거.. 아닙니까 ㅠㅠ

윈도우 8.1위에 우분투를 깔고 싶습니다. 가능하면 윈도우가 부팅된 이후. 어떤 버튼으로(?) 우분투로 부팅되며 전환되는 기능을 갖추고 싶습니다 ㅠㅠㅠ

어떤 세미나에서.. 어떤분께서 맨처음 리눅스로 부팅을 하신후 작업을 진행하다가, 갑자기 버튼 몇개로 윈도우를 부팅하며 윈도우로 전환을 하시던데.. 심지어 그 윈도우에서 어떤 버튼 몇개로 마치 알트탭으로 화면전환하듯이 우분투로 넘어왔습니다.

제가 알고 있던 버츄얼 박스로 그런것을 했던것은 아닌거 같은데..

 pycharm도 깔고 싶고 그 위에 ipython notebook도 돌아가게 하고 싶고 mysql도 tensorflow도 caffe 도 keras도 엉 엉 깔고 싶은데 우분투가 부팅이 안됩니다.

HDD에 데이터들이 꽤 있어서 아예 포맷하고 그부분에 우분투 올인을 못하는데.. 하드디스크를 새로 사서 시도해봐야 할까요?

아니면 16.04 아래의 다른 버젼을 이용하면 설치도 되고 부팅도 될까요? ㅠㅠㅠㅠㅠ...

으...미칠지경입니다.",No Comments Exist,"

일단 생각해 볼 수 있는 문제로는 리눅스 설치가 재대로 안된 겁니다.
아주 가끔 설치가 재대로 되었다는데 재대로 안되는 경우가 있지요.
그래서 직접 BIOS 로 진입 해서 하드 디스크를 주 부팅장치로 하시고 운영체제 부팅이 되시는 지 확인하여 보세요.
만약 된다면 그대로 boot-repair를 설치하세요.
인터넷에 boot-repair 검색 하시면 됩니다.
마지막으로 boot-repair를 실행 ,권장하는 복구 를 하시면 됩니다. 




<---------댓글----------->



*************************************************************
","#우분투
#설치
#윈도우8
#윈도우
#부팅",,
160,우분투 서버 부팅 시 싱글 유저 모드로만 부팅되는 오류의 복구 방법 질문,"
안녕하세요 얼마전 리눅스 시작한 왕초보 입니다.
기회가 있어 VMware 서버 위에 VM 생성하여 우분투 서버 올려 이것저것 공부하다 잘못 건들여서 재부팅 하니 싱글유저모드로만 부팅 됩니다. 해결좀 부탁드려요. 히스토리는 아래와 같습니다.

1. VMware에 VM 생성 후 우분투 서버를 만들어 내맘대로 이것저것 설치 및 작업을 해보다가 vnc server 파일을 설치 하게 됨
2. vnc server 설치 후 아니다 싶어 ssh 터미널 창으로 관련 패키지 삭제, config 파일 수정 등으로 삭제작업 진행
3. 재부팅을 하니 싱글 유저모드로만 부팅 됨
4. 부팅 시 아래와 같은 오류들 발생

질문1) VM 삭제 후 재설치 말고 기존 Ubuntu 서버로 원복(복구) 가능한가요? 가능하다면 방법좀 가르쳐 주세요 (구글링으로 e2fsck 등의 방법을 진행 해봤지만 효과가 없음, 백업 파일 없음, 최초 부팅 모드 선택 시 리커버리 모드로 부팅 안됨)
질문2) 위 사진과 같은 오류가 부팅문제와 연관이 있는지?
완전 초보라 답변 잘 부탁드립니다.","추가로 부팅 마지막에 killing all remaining processes     [failed] 표시도 뜨네요
우분투 버전은 Ubuntu 14.04.4 입니다.","
원래대로 복구하려면 llai11 님이 무엇을 하셨는지 알아야 되는데, 본인께서도 모르시고 계시니

재설치하는 것이 해결책입니다.




<---------댓글----------->



*************************************************************
",#부팅,,
161,우분투 16.04 언어셋 EUC-KR 사용 시 한글 깨짐과 관련하여.,"약 10년 전부터 윈도우 운영체제에서 개발하고 수정하던 자바 프로그램이 있습니다.

오래되어서 그런지 아직도 EUC-KR이 일부 기능중 채팅기능에서 사용이 되어지고 있습니다.

해당 부분을 UTF-8로 돌리면 채팅창 한글 입력시 한글깨짐이 발생합니다.

원래 윈도우 운영체제에서 개발하고 수정하고 이용하던 프로그램이라

기존에는 한글깨짐현상이 전혀 없었지만 리눅스 우분투로 넘어오고 부터는 얘기가 달라졌습니다.

현재까지 제가 할 수 있는 선에서 주먹구구식으로 해결한 방법으로는

우분투 자체의 언어셋을 EUC-KR로 변경하였을때는 자바 프로그램이 아무런 문제없이 한글 입력시 깨짐없이

잘 구동되는것을 확인하였습니다. 그러나 가장 치명적인 문제로는 우분투를 EUC-KR로 바꾸었을 경우에는

수많은 우분투의 프로그램들이 사용이 불가해지는 문제점을 확인할 수 있었습니다.

우분투 포럼의 지인의 설명으로는 배포판 한국버전의 경우 UTF-8으로 기본적인 인코딩이 잡혀있기때문에

EUC-KR로 변경했을때 많은 문제점이 야기된다는 얘기를 들었습니다.

이틀째 초보 담당자가 해결하기에는 너무나 버거운 문제입니다.

고수님들의 값진 조언 꼭!좀 부탁드립니다.",No Comments Exist,"
EUC-KR 은 구닥다리 코드입니다.

우분투 시스템 설정을 EUC-KR 로 바꾸려고 하지 마시고

채팅 기능이 UTF-8 을 사용하도록 소스코드를 수정하시는 것이 해결책입니다.




<---------댓글----------->



*************************************************************



음... 어쩔수 없지만 노가다로 utf-8로 하는걸 추천 합니다.

아무리 그래도 시스템의 인코딩 까지 바꾸는 건...

게다가 요즘은 글로벌을 노리고 해야 합니다.

거기에 대한 기본가짐으로 utf-8이 기본 예의인 셈이라 치셔야 합니다.

힘들거라는 건 잘 알겠습니다만 이 방법이 유일하고 가장 좋은 방법 입니다.




<---------댓글----------->



*************************************************************
","우분투
자바
한글깨짐
utf-8
euc-kr",,
162,How can I get a install CD,"I want to get a ubuntu installation cd not dvd.
I`ve tried to install ubuntu on my old pc. But It has not a dvd player (only cd) and to make matter worse, the main board doesn` support usb booting seq. Under the this situation, how can I install ubuntu os on my pc. Plz help me.",No Comments Exist,"
https://help.ubuntu.com/community/Installation/MinimalCD




<---------댓글----------->



*************************************************************
","배포cd-
우분투",,
163,Unable to negotiate with x.x.x.x: no matching host key type found. Their offer: ssh-dss,"ssh 접속 오류 입니다.

putty에서는 정상 접속 되는데 터미널에서 접속하면 이런 메세지가 나옵니다.

무언가를 수정해줘야 접속될 것 같은데 도통 모르겠네요..

Unable to negotiate with x.x.x.x: no matching host key type found. Their offer: ssh-dss

이런 메세지가 나오는데 해결방법좀 알고싶습니다.",No Comments Exist,No Answers Exist,ssh-dss,,
164,AH00534: No MPM loaded,"
이제막 리눅스를 처음 시작하는 신입입니다.
ubuntu에서 websvn을 사용하기위해, apache2 설치후
""service apache2 start""를 하게되면 start가 실패라 뜨며 시스템 상태를 보면 이러한 화면이 뜹니다.
No MPM loaded 라 하여 이것저것 찾아보고 있는데 몇일 째 답이 안나오네요
우분투 최신버젼 16.04입니다

제발 도와주세요
",No Comments Exist,No Answers Exist,apache2-failed,,
165,온라인 싱크 가사지원하는 어플이 있을까요?,알송같이 가사를 온라인으로 받아와서 출력해주는 mp3플레이어가 있을까요?,No Comments Exist,No Answers Exist,우분투,,
166,우분투 어플리케이션 수정이 가능한가요?,"제가 지금 리눅스 우분투를 사용하고 있는데요
리눅스가 커널이나 어플리케이션이 오픈소스라서 유저들이 직접 수정 및 배포가 가능하다고 들었거든요.
예를 들어 지뢰찾기 게임같은 거 열어서 c코드로 되어 있는 거 보고 코드 공부할 수 있다고도 들었습니다.
근데 어떻게 보는 건지 도무지 모르겠네요;;
어플리케이션의 코드를 어떻게 볼 수 있는지 가르쳐주세요ㅠㅜ

제가 하고싶은거는 오디오 녹음 프로그램을 수정해서 사람 음성이 감지되면 자동으로 녹음이 시작되고 음성이 끝났으면 자동으로 녹음을 끝내게 하고싶어요

그리고 지금 제가 궁금해하는 거 상세히 설명되어 있는 책도 추천 해주심 좋겠어요
뭘 검색하고 찾아봐야 하는 지도 감이 안잡히네요",No Comments Exist,"
apt-get source 패키지이름

으로 소스코드를 다운로드받을 수 있습니다.

음성인식 관련은 http://cmusphinx.sourceforge.net/ 참고해보세요.




<---------댓글----------->



*************************************************************
",ubuntu,,
167,커널에서 현재 실행되있는 Chromium브라우저의 url 주소를 바꾸는 방법이 있나요? 다시 시작 이런 방법이 아닌 주소만 바꾸는방법이요,"커널에서 현재 실행되있는 Chromium브라우저의 url 주소를 바꾸는 방법이 있나요? 다시 시작 이런 방법이 아닌 주소만 바꾸는방법이요

같은 탭, 같은 브라우저에서 주소만 바뀌었으면 좋겠습니다.

예시)

[명령어] http://www.naver.com 실행

http://google.com → http://www.naver.com 주소 바뀜",No Comments Exist,No Answers Exist,url주소_변경,,
168,스마트폰 연결,"OTP 지원도 안 되는 안드로이드 4.4.2 버젼의 LG Vu2 스마트폰은 루분투에 usb 연결하면

바로 mtp 내부 디바이스 연결이 뜨는데

안드로이드 5.0.2 버젼의 갤럭시 알파 (SM-G850K) 요놈은 아무것도 안 떠요.

Vu2는 lsusb 치면 요로코롬 연결된 모양이 뜨는데

Bus 001 Device 007: ID 1004:631c LG Electronics, Inc. G2/Optimus Android Phone [MTP mode]

갤럭시알파는 lsusb 쳐도 아무것도 추가로 연결된게 없어요.

그냥 usb 충전만 되고요. usb 테더링도 당근 안되고요. (덕분에 모바일 핫스팟을. 크윽.)

혹시 이유를 아시나요?",No Comments Exist,No Answers Exist,"스마트폰
맛폰
mtp",,
169,libapache2-mod-auth-mysql 패키지를 찾을 수 없습니다.,"
아파치와 mysql는 설치를 했고 php 설치할려고 하는데 아래와 같이 입력하는 패키지를 찾을수 없다고 하네요.
 
# apt-get instal libapache2-mod-auth-mysql
패키지 목록을 읽는 중입니다... 완료
의존성 트리를 만드는 중입니다.
생태 정보를 읽는 중입니다... 완료
E: apt-get instal libapache2-mod-auth-mysql 패키지를 찾을 수 없습니다.

어떻게 해결해야 하나요?
아니면 좀더 쉽게 amp를 설치할수 있는 방법이 있는지요.?",No Comments Exist,"
제 경우 데이터베이스를 설치하고 나서 apt-get으로 phpmyadmin을 설치합니다.

해당 문제는 apt-get update를 하면 해결될 문제로 보입니다.




<---------댓글----------->



*************************************************************
",php,,
170,기가바이트 노트북 우분투 14.04 설치시 그래픽드라이버 (GTX980M) 문제 해결방법이 있을까요?,"우분투 14.04. LTS 어렵게 설치 완료

Nvidia 그랙픽 드라이버 설치시 무한로그인 문제 발생",No Comments Exist,No Answers Exist,우분투,,
171,windows10 설치 되어있는 컴퓨터에 ubuntu 16.04 LTS 듀얼부팅 설치하기,"
M.2 MVME SSD 에 windows 10이 설치 되어있는데 저가 또 다른 HDD에 Ubuntu 16.04 LTS 를 설치할려고 합니다.
그런데 BIOS로 부팅을 하여 설치를 할려고 하니 이런 문구가 계속 뜨네요.
이건 기본적인 성능이고요.

하드디스크 목록들 입니다.
물론 저기서 UEFI 로 부팅을 했고요.


이런 오류가 뜹니다. status; {drdy}
시큐리티 부트, 패스트 부트 다 끄고 해봤는데도 안되네요.
해결방법 쫌 알려주세요",No Comments Exist,"
해상도가 낮아서 그런가 글자가 잘 안보이네요 ㅠㅠ  어떤 경로로 설치 하시는지는 모르겠는데 저의 경우에는 usb로 설치 할때 포맷을 fat32로 해줘야 인식이 되었습니다 . 혹시나 도움이 되었으면 합니다




<---------댓글----------->



*************************************************************
","ubuntu설치
install
drdy
windows10",,
172,이 에러 메시지가 glibc 와 관련된 문제인가요?,"
현재 쓰고 있는 우분투 버전은 16.04 로 알고 있습니다. 

제가 gdal 1.10.1 버전을 설치하려고합니다. ( https://trac.osgeo.org/gdal/wiki/DownloadSource )
그런데 sudo ./configure 까진 괜찮았는데 sudo make 를 실행하니 
json_object.c:29:9: error: expected identifier or '(' before '__extension__'
   char* strndup(const char* str, size_t n);

이 에러가 발생했습니다. 

이런 상황입니다. 
이걸 어떻게 해결해야할지 우분투 초보입문자인 저로썬 알 수가 없습니다. 도와주신다면 매우 감사하겠습니다. 
getconf -a | grep glibc
명령어를 통해 glibc 버전을 알아보니 
GNU_LIBC_VERSION                   glibc 2.23

라고 나왔습니다.

제가 무슨 잘못을 범하고 있는 것인가요?
",No Comments Exist,No Answers Exist,"glibc
gdal
strndup",,
173,7시간과의 사투끝에 우연히 커뮤니티를 찾게되어  올립니다. glib-2.0에서 이미 깔려있는 pcre최신버젼의...,7시간과의 사투끝에 우연히 커뮤니티를 찾게되어  올립니다. glib-2.0에서 이미 깔려있는 pcre최신버젼의 유니코드 지원하지 않는다는 것을 문제삼습니다. 다운받을 때에는 유니코드 지원한다고 나와있었는데 pcretest로 확인해보니 지원 안 한다네요. 어떻게 해야할까요,No Comments Exist,"
sudo apt-get install libpcre3-dev




<---------댓글----------->



*************************************************************
",pcre,,
174,창 사이드로 최대화,"
윈도우의 경우에는 Win + → 나 Win + ←로 창의 위치를 왼쪽, 오른쪽으로 이동 할 수 있습니다.
우분투의 경우에는 비슷한 것이 없나요?
Win + ↑ 이거나, Win + ↓ 이거는 비슷한 기능이 있어서 단축키를 바꿔서 해결했는데, 사이드로 최대화하는 기능은 안 보여서요......
",No Comments Exist,"
화면 왼쪽 혹은 오른쪽 절반만 채워지는 기능 말씀하시는 게 맞죠?

컴피즈 설정 관리자 - Grid - Left/Right Maximize 단축키 설정해서 써보세요.




<---------댓글----------->



*************************************************************
","우분투
창
최대화",,
175,"안녕하세요. 7월 29일 에 발표된, scheduler 의 4가지 버그 에 관한 PPT 자료...","안녕하세요. 7월 29일 에 발표된, scheduler 의 4가지 버그 에 관한 PPT 자료를 좀 받아 볼 수 있을까요? 혹시 받아 볼 수 있으면, yjlee<골벵이>linux.com 으로 메일 주시면 감사하겠습니다. 감사합니다.",No Comments Exist,No Answers Exist,scheduler,,
176,우분투 12.04 사용자입니다. 무선랜 13번 채널 접속을 하고싶습니다.,"우분투 12.04 사용자입니다. 무선랜 13번 채널 접속을 하고싶은데 아무리 해외/국내 포럼을 뒤져봐도 마땅한 답변이 없습니다.

기종은 hp mini 2133 넷북이며, 국산구매품이라 무선랜카드 자체는 13번을 지원합니다.

윈도우xp 듀얼부팅 사용중인데 xp에서는 아주 원활하게 잘 잡힙니다. 어떻게 셋팅해야 할까요?",No Comments Exist,No Answers Exist,우분투,,
177,ubuntu 부팅 시 컴퓨터가 멈추는 문제. 도저히 해결이 안 되네요,"
하..ubuntu 깔기 진짜 힘드네요.
아까 해결된 줄 알았는데 또 다시 말썽이네요.
증상은 부팅 후, 로그인 하는 순간에 컴퓨터가 멈춰버리는 것입니다.

구글링을 계속해 본 결과
우분투가 쓰는 기본 그래픽 드라이버인 nouveau랑 nvidia 의 geforce가 충돌하는 것으로 보이네요
(호환성이 안 좋은 것을 넘어서 아예 시스템 자체가 멈춰버림)
왜냐하면 부팅 시 esc 누른 후 안전모드 설정 화면에서 
failsafeX를 선택 후 다시 normal boot 를 하면 정상적으로 실행이 되기 때문입니다.

그래서 어떻게든 nouveau 를 끄고 이 설정을 유지하게 한 다음에
kernel mode로 들어가서 X server를 끈 다음에 재시작해서
nvidia 드라이버를 깔려고 합니다

그런데 문제는 update-initramfs 명령어를 썼을 때 에러가 난다는 것입니다
구글링 결과 Raspbian kernel packaging 의 버그라고 하는데...
그러면 어쩌라는 건지 잘 모르겠네요
정말 하루종일 붙들고 있다가 tv 보다가 이거 하다가 밥먹다가 이러고 있는데도
어떻게 해야될지를 모르겠습니다. 
도와주세요 ㅠㅠㅠㅠ",No Comments Exist,No Answers Exist,"#우분투
#드라이버
#nouveau
#update-initramfs",,
178,오늘 갑자기 터미널 창을 구동시키려 하면 터미널 창이 시작하려고 하다가 바로 종료가 됩니다. 어떻게 해결해야 되는지 알려주시면 대단히 감사하겠습니다.,오늘 갑자기 터미널 창을 구동 시키려 하면 터미널 창이 시작하려고 하다가 바로 종료가 됩니다. 어떻게 해결해야 되는지 알려주시면 대단히 감사하겠습니다.,No Comments Exist,"
남은 하드디스크 용량 확인해보세요




<---------댓글----------->



*************************************************************
",터미널,,
179,사운드블라스터 Z를 사용하고 싶습니다.,"
우분투 16.04 64bit 사용자 입니다.

사운드 블라스터 Z를 사용중에 있습니다.

사블 제작사에서 드라이버를 제공하지 않아 사용을 못하고 있는데요..

이런 경험이나 해결방법이 있다면 공유 부탁드립니다.

현재 SB Recon3D로 자동으로 잡혀 있지만 음향 출력은 내보내지 않네요.ㅜㅜ;;
lshw 내용을 첨부 하니 참고하여 주셔요..
- https://ask.ubuntu-kr.org/?qa=blob&qa_blobid=12452743348986465228

도움 부탁드립니다~~~ 꾸벅~~~~",No Comments Exist,No Answers Exist,"#사운드블라스터
#하드웨어",,
180,안드로이드를 빌드하려고 합니다,"우분투는 16.04버전을 쓰고 있고 안드로이드개발을 하려고합니다

처음엔 열심히 구글링을 해 자바를 설치하는데 성공하고 그다음에 sdk 매니저를 설치하는데 성공하고

지금은 빌드에 필요한 패키지 설치가 필요하다고 하는데 각 버전마다 입력해야할 구문이 달라 애를 먹고 있습니다

어떻게해야 할까요",No Comments Exist,"
일단 안드로이드 빌드는 여기를 참조하시면 됩니다.

https://source.android.com/index.html

질문을 구체적으로 올려 주시거나, 에러 메시지 등을 첨부해 주시면 좀 더 자세히 도와드릴 수 있을 것 같아요!




<---------댓글----------->



*************************************************************
","#안드로이드
#빌드
패키지
#입력구문",,
181,xorg에 옵션을 설정할 때 다른 장치에 있는 버튼을 설정할 수 있나요?,"
지금 레노버 E440에서 트랙포인트(빨콩)만 사용하려고 이것저것 설정 중인데 Wheel Emulation(middle button을 누른 상태에서 커서를 움직이면 스크롤이 움직이는 기능)이 작동되지 않습니다.
지금 생각되는 원인은 트랙포인트 설정파일(11-evdev-trackpoint)에서 설정된 옵션이 터치패드의 소프트 버튼의 번호가 아니라 트랙포인트에 설정된 버튼 번호를 인식해서 그런 것 같은데 혹시 다른 장치에 있는 버튼을 인식하도록 옵션을 설정할 수 있을까요?
아니면 아예 방향을 잘못 잡은 건가요?
일단 터치패드의 버튼은 3가지 모두 xinput test로 인식됩니다.
xinput 결과 화면
xinput list-props 10(touchpad)

50-synaptics.conf(touchpad 설정파일)

xinput list-props 11(trackpoint)
11-evdev-trackpoint(trackpoint설정파일)
여기서 10번 장치(touchpad)의 2번 버튼이 아니라 11번 장치(trackpoint)의 2번 버튼을 옵션에서 설정되있는게 아닌가 생각하고 있습니다.
",No Comments Exist,No Answers Exist,"ubuntu
xorg
trackpoint
lenovo
emulatewheel",,
182,우분투나 리눅스 를 가상머신에서 돌려서 사용할려고합니다 .,목적은 임베디드 실습 및 개발 할때 사용할려고 합니다. 여러분의 의견 듣고 싶습니다.,No Comments Exist,"
임베디드 실습 및 개발..

Arduino, Raspberry Pi가 대상이라면 쓸만합니다. 전혀 문제될것이 없지요.

바나나파이나 비글보드 계열(비글본 블랙이라던지), odroid 계열도 전혀 문제될건 없습니다.

다만, 다른 보드를 쓰신다면..

avr의 경우 avr-gcc

8051과 pic의 경우 sdcc

Cortex-M 계열도 arm-gcc

사실 컴파일러는 거의 문제되지 않습니다.

국산 제품의 경우 iar이나 Windows 구버전에서나 도는 전용 isp(in system programmer)용 프로그램을 쓰는 경우가 간혹 있구요.

특히, 학교에 납품은 했는데 회사가 문을 닫아버린 경우라던지.. 그런 경우엔 답을 찾기가 힘들겁니다.




<---------댓글----------->



*************************************************************
",#가상머신,,
183,우분투 그놈 16.04 인텔리제이 한글 입력 문제,"
우분 투한 국커뮤니 티포럼
인텔리제이에서 한글을 입력할 경우 
위에서처럼 스페이스를 입력할 경우 이전에 입력했던 문자 앞에 스페이스가 들어갑니다.
다를 프로그램들에서는 정상적으로 입력이 되는데 유독 인텔리제이에서만 저런 현상이 발생합니다.
혹시 해결방법이 있을런지요. 입력기로는 ibus를 사용하고 있습니다.
",No Comments Exist,"
ibus 외에 dasom 입력기나 nimf 를 사용해보시는것을 권장드립니다.

https://github.com/cogniti/nimf




<---------댓글----------->



*************************************************************
","인텔리제이
한글
스페이스",,
184,우분투 설치 후 윈도우7 부팅이 안되요,"
다른글을 봤으나 해봐도 안되고, 증상도 달라서 질문드립니다.

우분투(정확히 주분투 16.04.01 LTS)를 윈7이 설치된 PC에 설치했습니다.
grub에도 주분투와 윈도우7 다 뜹니다.
다만 문제는 주분투로 선택하면 정상적으로 주분투가 부팅되는데,
윈도우7을 선택하면 윈도우가 부팅되질 않고 검정 화면에 커서만 몇번 깜빡이다 다시 grub 화면으로 돌아옵니다.
윈도우 쪽 부트로더가 손상된것 같은데, 아예 윈도우 부팅이 되질 않으니 어찌해야할지 모르겠네요.
알려주시면 감사하겠습니다.
추가로 시스템은 인텔 478소켓 펜티엄4, i865PE 칩셋입니다. HDD는 SATA 입니다.",No Comments Exist,"
안녕하세요, 일단 윈도우7의 부팅 영역이 손상되어서 되지 않을 가능성이 있습니다.

http://www.w7forums.com/threads/startup-repair.441/

위 링크를 참조하셔서 먼저 윈도우7 부팅영역을 복구 해보시길 바랍니다.

이후에 부팅을 하시면 GRUB을 통한 멀티 부팅 선택이 되지 않고 윈도우7만 부팅이 될 것입니다.

이때, 우분투 설치 USB로 부팅을 하셔서 boot-repair라는 패키지를 이용하시면 다시 멀티 부팅이 가능해질 것입니다.

boor-repair에 대한 자세한 내용은 아래 링크를 참조하여 주십시오.

http://deviantcj.tistory.com/493




<---------댓글----------->



*************************************************************
","#부팅
#윈도우",,
185,"qt has caught an exception thrown from an event handler. throwing exceptions 이라 뜹니다. 이게 c++에서만 나오지, 우분투에서는 어떻게 해결해야하나요?","안녕하세요 자꾸 fsl 이란 프로그램에서 이미지 두개를 열려고 하면: qt has caught an exception thrown from an event handler. throwing exceptions 이라 뜹니다. 이게 c++에서만 나오지, 우분투에서는 어떻게 해결해야하나요?",No Comments Exist,No Answers Exist,"우분투
fsl
qt",,
